"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6760","product detail page shows name","chromium","2026-05-28","passed","2026-05-28","Module 02 – Product Catalog","catalog\catalog.spec.js","",""
"","24653","TC_E2E_06 - proceed from cart to checkout step 1","webkit","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","6265","TC_USR_01 - standard_user logs in and sees Products page","webkit","2026-05-28","passed","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","8349","TC_CHK_09 - total equals subtotal + tax","firefox","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","9931","TC_CHK_07 - step 2 shows ordered items","firefox","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","6365","TC_NAV_11 - cart icon is visible in header","firefox","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","0","TC_USR_15 - invalid credentials always show error for any user","chromium","2026-05-28","skipped","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","5145","each product has an image","webkit","2026-05-28","passed","2026-05-28","Module 02 – Product Catalog","catalog\catalog.spec.js","",""
"","9474","TC_E2E_07 - complete checkout with valid shipping info","firefox","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","9732","TC_CHK_08 - step 2 shows subtotal, tax and total labels","firefox","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","6772","TC_NAV_05 - sidebar shows all four links","firefox","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","6614","TC_E2E_08 - order overview total = subtotal + tax","chromium","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","7048","TC_NAV_04 - clicking burger opens the sidebar","chromium","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","7446","checkout button is visible with items in cart","webkit","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
"","7975","TC_E2E_01 - login then see product catalog","webkit","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey > unauthenticated","e2e\e2e.spec.js","",""
"","6335","cart badge is hidden when cart is empty","firefox","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
"","4009","login page shows username and password fields","webkit","2026-05-28","passed","2026-05-28","Module 01 – Authentication","auth\login.spec.js","",""
"","5812","login page has login button","chromium","2026-05-28","passed","2026-05-28","Module 01 – Authentication","auth\login.spec.js","",""
"","7154","sort by Name (Z to A) applies correctly","webkit","2026-05-28","passed","2026-05-28","Module 02 – Product Catalog","catalog\catalog.spec.js","",""
"","6715","TC_E2E_10 - back home after order returns to inventory","chromium","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","8179","TC_E2E_04 - cart shows all added items","firefox","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","6463","logout works after login","firefox","2026-05-28","passed","2026-05-28","Module 01 – Authentication","auth\login.spec.js","",""
"","5698","cart page loads at correct URL","firefox","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
"","13420","TC_CHK_11 - order complete page shows Thank You header","webkit","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
